Title: Maximum Temperature of All station during year 2000 to 2022

SL.	Station	Year	Month	Temperature (Deg.Cel)
566	Rajshahi (10320)	2001	2	28.64
567	Rajshahi (10320)	2001	3	33.59
568	Rajshahi (10320)	2001	4	36.97
569	Rajshahi (10320)	2001	5	33.01
570	Rajshahi (10320)	2001	6	32.48
571	Rajshahi (10320)	2001	7	32.69
572	Rajshahi (10320)	2001	8	33.50
573	Rajshahi (10320)	2001	9	33.22
574	Rajshahi (10320)	2001	10	31.91
575	Rajshahi (10320)	2001	11	29.73
576	Rajshahi (10320)	2001	12	24.99
577	Rajshahi (10320)	2002	1	24.99
578	Rajshahi (10320)	2002	2	28.68
579	Rajshahi (10320)	2002	3	33.20
580	Rajshahi (10320)	2002	4	33.55
581	Rajshahi (10320)	2002	5	32.90
582	Rajshahi (10320)	2002	6	33.46
583	Rajshahi (10320)	2002	7	33.21
584	Rajshahi (10320)	2002	8	32.65
585	Rajshahi (10320)	2002	9	33.13
586	Rajshahi (10320)	2002	10	31.86
587	Rajshahi (10320)	2002	11	29.08
588	Rajshahi (10320)	2002	12	25.46
589	Rajshahi (10320)	2003	1	21.80
590	Rajshahi (10320)	2003	2	27.38
591	Rajshahi (10320)	2003	3	30.68
592	Rajshahi (10320)	2003	4	35.88
593	Rajshahi (10320)	2003	5	35.77
594	Rajshahi (10320)	2003	6	33.48
595	Rajshahi (10320)	2003	7	33.23
596	Rajshahi (10320)	2003	8	33.66
597	Rajshahi (10320)	2003	9	32.83
598	Rajshahi (10320)	2003	10	30.66
599	Rajshahi (10320)	2003	11	29.41
600	Rajshahi (10320)	2003	12	25.59
601	Rajshahi (10320)	2004	1	22.05
602	Rajshahi (10320)	2004	2	28.14
603	Rajshahi (10320)	2004	3	34.48
604	Rajshahi (10320)	2004	4	34.79
605	Rajshahi (10320)	2004	5	37.06
606	Rajshahi (10320)	2004	6	33.47
607	Rajshahi (10320)	2004	7	32.37
608	Rajshahi (10320)	2004	8	33.05
609	Rajshahi (10320)	2004	9	31.45
610	Rajshahi (10320)	2004	10	31.08
611	Rajshahi (10320)	2004	11	29.48
612	Rajshahi (10320)	2004	12	26.34
613	Rajshahi (10320)	2005	1	23.83
614	Rajshahi (10320)	2005	2	29.05
615	Rajshahi (10320)	2005	3	32.90
616	Rajshahi (10320)	2005	4	35.77
617	Rajshahi (10320)	2005	5	35.11
618	Rajshahi (10320)	2005	6	35.98
619	Rajshahi (10320)	2005	7	32.25
620	Rajshahi (10320)	2005	8	33.16
621	Rajshahi (10320)	2005	9	33.74
622	Rajshahi (10320)	2005	10	29.83
623	Rajshahi (10320)	2005	11	28.29
624	Rajshahi (10320)	2005	12	26.46
625	Rajshahi (10320)	2006	1	24.87
626	Rajshahi (10320)	2006	2	31.30
627	Rajshahi (10320)	2006	3	33.53
628	Rajshahi (10320)	2006	4	35.28
